epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,500.306,0.72356,1.02084,0.54027,0.94583,0.95198,0.88435,0.95873,0.73435,0.93436,0.86991,0.93426,0.64348,0.73404,1.08548,0.51384,0.96925,0.00115549,0.00115549,0.00115549
31,516.436,0.74648,1.03874,0.55946,0.95104,0.94298,0.89059,0.94799,0.70798,0.93436,0.88275,0.93435,0.639,0.72824,1.04751,0.50776,0.95242,0.00114606,0.00114606,0.00114606
32,532.714,0.74587,1.07,0.55312,0.9532,0.93567,0.8973,0.95814,0.69609,0.93606,0.88381,0.92129,0.62343,0.74812,1.13254,0.51843,0.97254,0.00113663,0.00113663,0.00113663
33,548.825,0.71169,1.0262,0.52873,0.94375,0.94215,0.90202,0.96113,0.72542,0.93539,0.88419,0.93773,0.64297,0.75023,1.08015,0.50189,0.97735,0.0011272,0.0011272,0.0011272
34,565.216,0.7125,1.04115,0.51346,0.93632,0.96955,0.90241,0.96856,0.74052,0.95277,0.8888,0.94288,0.65153,0.72135,1.05743,0.49389,0.95217,0.00111776,0.00111776,0.00111776
35,581.374,0.71477,1.02567,0.5254,0.94131,0.95613,0.93242,0.97299,0.75115,0.92701,0.89081,0.93154,0.65078,0.71732,1.09541,0.48875,0.95661,0.00110833,0.00110833,0.00110833
36,597.719,0.70477,1.03053,0.51571,0.9403,0.96643,0.94227,0.98118,0.74095,0.95081,0.92867,0.96137,0.65024,0.6987,1.14294,0.47745,0.94788,0.0010989,0.0010989,0.0010989
37,614.034,0.70435,1.04285,0.51194,0.93832,0.9734,0.92961,0.96855,0.76037,0.96863,0.90223,0.94622,0.66719,0.70595,1.03808,0.48843,0.96107,0.00108947,0.00108947,0.00108947
38,630.287,0.70205,0.99492,0.50966,0.94118,0.94652,0.92554,0.96553,0.73921,0.91492,0.92932,0.94691,0.64205,0.72813,1.09364,0.47207,0.96491,0.00108004,0.00108004,0.00108004
39,646.394,0.69919,1.0173,0.51139,0.93052,0.93342,0.90759,0.96634,0.73567,0.93829,0.8903,0.93008,0.65116,0.70064,1.03525,0.46655,0.94915,0.00107061,0.00107061,0.00107061
40,662.596,0.69961,1.0112,0.50619,0.93468,0.96618,0.90708,0.96867,0.7433,0.94906,0.8901,0.95264,0.65788,0.7138,1.06166,0.50621,0.96015,0.00106118,0.00106118,0.00106118
41,678.776,0.69757,1.03706,0.51773,0.93205,0.98243,0.91621,0.97687,0.75802,0.97064,0.90643,0.96827,0.67662,0.71105,1.02223,0.51733,0.9565,0.00105174,0.00105174,0.00105174
42,695.093,0.69178,1.01508,0.49823,0.93184,0.96929,0.90685,0.97837,0.75706,0.95895,0.88954,0.9595,0.67281,0.70195,1.07835,0.4675,0.94879,0.00104231,0.00104231,0.00104231
