epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,2062.01,0.4993,0.7284,0.32686,0.86566,0.99037,0.94402,0.98852,0.81825,0.98163,0.93618,0.9809,0.724,0.61423,0.96322,0.34492,0.92132,0.000250075,0.000250075,0.000250075
127,2078.12,0.51227,0.76938,0.33185,0.86851,0.98116,0.95202,0.98799,0.80772,0.97053,0.94208,0.98057,0.72013,0.61191,0.98351,0.34311,0.91484,0.000240644,0.000240644,0.000240644
128,2094.43,0.50893,0.74885,0.33482,0.8781,0.98385,0.94559,0.98852,0.81922,0.97733,0.93905,0.97686,0.72798,0.61417,0.95831,0.33627,0.92196,0.000231212,0.000231212,0.000231212
129,2110.56,0.49705,0.75114,0.32528,0.86639,0.98932,0.93894,0.98705,0.8127,0.98283,0.93752,0.97792,0.72518,0.61874,0.96004,0.34495,0.93117,0.000221781,0.000221781,0.000221781
130,2126.8,0.50639,0.74935,0.32591,0.8673,0.98302,0.95743,0.98827,0.81889,0.98597,0.93506,0.97464,0.72752,0.61325,0.97335,0.34423,0.92178,0.000212349,0.000212349,0.000212349
131,2142.87,0.50508,0.74049,0.32895,0.87617,0.98393,0.95113,0.99031,0.82083,0.9766,0.94447,0.98166,0.72774,0.60776,0.96828,0.33733,0.92225,0.000202918,0.000202918,0.000202918
132,2159.16,0.49712,0.74033,0.32363,0.86464,0.97692,0.9582,0.98999,0.82075,0.96986,0.95122,0.98204,0.73771,0.61089,0.95274,0.3356,0.92008,0.000193487,0.000193487,0.000193487
133,2175.32,0.50413,0.75778,0.31908,0.86493,0.98147,0.95497,0.98815,0.81988,0.96386,0.94743,0.98245,0.72625,0.61256,0.96417,0.33994,0.92267,0.000184055,0.000184055,0.000184055
134,2191.63,0.50275,0.73713,0.32198,0.87048,0.9685,0.95883,0.98867,0.8209,0.96008,0.95102,0.97873,0.72842,0.61191,0.96021,0.33995,0.91945,0.000174624,0.000174624,0.000174624
135,2207.8,0.49954,0.75655,0.3185,0.87291,0.98143,0.9468,0.98429,0.82558,0.97098,0.95574,0.98183,0.73237,0.60512,0.95533,0.33879,0.91689,0.000165192,0.000165192,0.000165192
136,2224.2,0.47914,0.72842,0.309,0.86574,0.96274,0.96861,0.98755,0.82551,0.95498,0.96091,0.98386,0.72837,0.60362,0.95229,0.34636,0.9208,0.000155761,0.000155761,0.000155761
137,2240.33,0.49003,0.72085,0.31014,0.86012,0.99045,0.94503,0.98731,0.81848,0.96216,0.95359,0.98113,0.73156,0.60222,0.95229,0.34035,0.91879,0.00014633,0.00014633,0.00014633
138,2256.76,0.49229,0.7313,0.31781,0.87027,0.99152,0.9503,0.98918,0.82541,0.98082,0.9546,0.97909,0.73379,0.60458,0.95887,0.33361,0.91312,0.000136898,0.000136898,0.000136898
139,2272.91,0.47449,0.71236,0.31196,0.86137,0.98099,0.94607,0.9875,0.8254,0.98011,0.95152,0.98111,0.72732,0.60354,0.96645,0.33327,0.9138,0.000127467,0.000127467,0.000127467
140,2289.25,0.49658,0.75704,0.31905,0.86413,0.97941,0.95323,0.98689,0.82605,0.97972,0.95263,0.98182,0.73428,0.60233,0.9644,0.33394,0.91729,0.000118035,0.000118035,0.000118035
141,2306.85,0.44283,0.69904,0.28821,0.84819,0.97264,0.9515,0.98338,0.82768,0.97348,0.9515,0.98115,0.72585,0.59916,0.96953,0.329,0.91806,0.000108604,0.000108604,0.000108604
142,2322.96,0.4346,0.68711,0.27726,0.84668,0.97346,0.96382,0.98744,0.82329,0.96675,0.956,0.98017,0.7227,0.59661,0.95553,0.32714,0.91855,9.91726e-05,9.91726e-05,9.91726e-05
143,2339.03,0.42056,0.66115,0.27038,0.83648,0.97415,0.97087,0.98866,0.81779,0.95198,0.96153,0.98065,0.72223,0.59969,0.97046,0.33089,0.9191,8.97412e-05,8.97412e-05,8.97412e-05
144,2355.05,0.42951,0.67352,0.27089,0.84778,0.97403,0.97092,0.98967,0.81755,0.96602,0.96318,0.98435,0.73459,0.60139,0.97005,0.32956,0.91992,8.03098e-05,8.03098e-05,8.03098e-05
145,2371.05,0.42441,0.67767,0.27155,0.84412,0.97829,0.96335,0.98868,0.81995,0.97128,0.95643,0.98211,0.73033,0.60259,0.96243,0.32854,0.91872,7.08784e-05,7.08784e-05,7.08784e-05
146,2387.16,0.41722,0.65172,0.26585,0.84234,0.97443,0.9737,0.9888,0.8235,0.96964,0.94651,0.97339,0.73094,0.60246,0.9626,0.32662,0.91831,6.1447e-05,6.1447e-05,6.1447e-05
147,2403.21,0.4135,0.6515,0.26515,0.84288,0.96555,0.97385,0.98796,0.82255,0.9669,0.94787,0.97212,0.7307,0.60147,0.96342,0.32896,0.91787,5.20156e-05,5.20156e-05,5.20156e-05
148,2419.2,0.4187,0.66571,0.26828,0.84251,0.97663,0.96188,0.98727,0.82311,0.95047,0.96497,0.97922,0.73005,0.60466,0.96866,0.33081,0.91856,4.25842e-05,4.25842e-05,4.25842e-05
149,2435.19,0.40863,0.65274,0.26405,0.83825,0.98598,0.96122,0.98794,0.8259,0.97718,0.95402,0.98084,0.73158,0.60372,0.9647,0.33103,0.91712,3.31528e-05,3.31528e-05,3.31528e-05
150,2451.27,0.40633,0.64899,0.26055,0.83119,0.97688,0.9631,0.98787,0.82476,0.9704,0.95464,0.98082,0.73022,0.60276,0.96655,0.33015,0.91732,2.37214e-05,2.37214e-05,2.37214e-05
